,id,date,store_nbr,family,sales,onpromotion
1488953,1488953,2015-04-18,36,PET SUPPLIES,0.0,0
1157196,1157196,2014-10-13,28,HOME CARE,233.0,0
2139510,2139510,2016-04-18,4,LINGERIE,1.0,0
2772755,2772755,2017-04-09,8,PREPARED FOODS,228.582,1
2706865,2706865,2017-03-04,1,CLEANING,752.0,10
403011,403011,2013-08-15,17,HOME AND KITCHEN I,0.0,0
1791124,1791124,2015-10-05,15,HOME AND KITCHEN II,21.0,1
2126730,2126730,2016-04-11,31,GROCERY I,3409.0,6
950082,950082,2014-06-19,17,GROCERY I,2451.0,8
1568678,1568678,2015-06-02,23,MAGAZINES,0.0,0
2149803,2149803,2016-04-24,29,HOME CARE,346.0,2
199725,199725,2013-04-23,13,DELI,133.0,0
1804789,1804789,2015-10-12,48,LADIESWEAR,11.0,0
725290,725290,2014-02-13,1,HOME AND KITCHEN II,0.0,0
405670,405670,2013-08-16,41,BABY CARE,0.0,0
1859143,1859143,2015-11-12,23,"LIQUOR,WINE,BEER",192.0,0
24886,24886,2013-01-14,8,BOOKS,0.0,0
456566,456566,2013-09-14,2,FROZEN FOODS,231.0,0
1610494,1610494,2015-06-25,46,POULTRY,654.501,0
2732075,2732075,2017-03-18,17,BREAD/BAKERY,434.0,11
2324670,2324670,2016-07-31,35,HOME CARE,180.0,7
2719296,2719296,2017-03-10,8,PRODUCE,4707.175,1
1286670,1286670,2014-12-26,11,AUTOMOTIVE,6.0,0
1656545,1656545,2015-07-21,39,FROZEN FOODS,65.81,1
2115915,2115915,2016-04-05,28,LINGERIE,5.0,0
2099077,2099077,2016-03-26,6,GROCERY II,15.0,0
605760,605760,2013-12-06,6,GROCERY I,3919.0,0
2131118,2131118,2016-04-13,54,FROZEN FOODS,30.0,0
1825894,1825894,2015-10-24,40,BOOKS,0.0,0
2524574,2524574,2016-11-20,44,DAIRY,4785.0,26
2124502,2124502,2016-04-10,19,POULTRY,77.245,0
67811,67811,2013-02-08,11,PREPARED FOODS,17.0,0
1224344,1224344,2014-11-20,12,FROZEN FOODS,63.0,0
1420740,1420740,2015-03-11,22,MEATS,0.0,0
2708414,2708414,2017-03-04,52,BREAD/BAKERY,0.0,0
2377288,2377288,2016-08-30,12,BABY CARE,2.0,0
1921534,1921534,2015-12-17,24,EGGS,168.0,0
1100608,1100608,2014-09-11,4,PERSONAL CARE,156.0,0
315171,315171,2013-06-26,51,LINGERIE,11.0,0
2497726,2497726,2016-11-05,40,"LIQUOR,WINE,BEER",232.0,2
2451845,2451845,2016-10-10,53,FROZEN FOODS,90.0,2
1405338,1405338,2015-03-02,40,AUTOMOTIVE,7.0,0
2768550,2768550,2017-04-07,4,HOME AND KITCHEN I,41.0,1
2116975,2116975,2016-04-05,8,PERSONAL CARE,353.0,4
2908087,2908087,2017-06-24,54,POULTRY,38.194,1
480648,480648,2013-09-27,45,BEVERAGES,2671.0,0
