NIS code;Woonplaats;Mannen;Vrouwen;Totaal
01000;België;5761410;5936147;11697557
02000;Vlaams Gewest;3352319;3422488;6774807
03000;Waals Gewest;1800829;1880746;3681575
04000;Brussels Hoofdstedelijk Gewest;608262;632913;1241175
10000;Provincie Antwerpen;947807;963145;1910952
11000;Arrondissement Antwerpen;534101;543983;1078084
11001;Aartselaar;7327;7425;14752
11002;Antwerpen;269754;269156;538910
11004;Boechout;6722;7084;13806
11005;Boom;9476;9586;19062
11007;Borsbeek;5493;5816;11309
11008;Brasschaat;18444;20131;38575
11009;Brecht;15134;15253;30387
11013;Edegem;11015;11746;22761
11016;Essen;9808;9821;19629
11018;Hemiksem;5999;6106;12105
11021;Hove (Antwerpen);4049;4395;8444
11022;Kalmthout;9481;9941;19422
11023;Kapellen (Antwerpen);13579;14164;27743
11024;Kontich;10582;11042;21624
11025;Lint;4226;4322;8548
11029;Mortsel;12786;13605;26391
11030;Niel;5363;5436;10799
11035;Ranst;9800;9809;19609
11037;Rumst;7646;7771;15417
11038;Schelle;4198;4464;8662
11039;Schilde;9858;10435;20293
11040;Schoten;16571;17789;34360
11044;Stabroek;9369;9468;18837
11050;Wijnegem;5023;5409;10432
11052;Wommelgem;6497;6733;13230
11053;Wuustwezel;10816;10828;21644
11054;Zandhoven;6627;6725;13352
11055;Zoersel;10955;11472;22427
11056;Zwijndrecht;9590;9957;19547
11057;Malle;7913;8094;16007
12000;Arrondissement Mechelen;175156;181144;356300
12002;Berlaar;5916;6033;11949
12005;Bonheiden;7554;7904;15458
12007;Bornem;10838;11144;21982
12009;Duffel;8857;9125;17982
12014;Heist-op-den-Berg;21821;22405;44226
12021;Lier;18433;19476;37909
12025;Mechelen;43430;45184;88614
12026;Nijlen;11539;11870;23409
12029;Putte;9203;9428;18631
12035;Sint-Katelijne-Waver;10621;10974;21595
12040;Willebroek;13710;14063;27773
12041;Puurs-Sint-Amands;13234;13538;26772
13000;Arrondissement Turnhout;238550;238018;476568
13001;Arendonk;6692;6652;13344
13002;Baarle-Hertog;1522;1490;3012
13003;Balen;11657;11651;23308
13004;Beerse;9140;9276;18416
13006;Dessel;4896;4909;9805
13008;Geel;21015;20813;41828
13010;Grobbendonk;5744;5775;11519
13011;Herentals;14129;14446;28575
13012;Herenthout;4660;4757;9417
13013;Herselt;7436;7369;14805
13014;Hoogstraten;11290;10955;22245
13016;Hulshout;5304;5260;10564
13017;Kasterlee;9755;9723;19478
13019;Lille;8501;8370;16871
13021;Meerhout;5235;5113;10348
13023;Merksplas;4432;4367;8799
13025;Mol;18997;19162;38159
13029;Olen;6394;6295;12689
13031;Oud-Turnhout;7300;7434;14734
13035;Ravels;7724;7614;15338
13036;Retie;5958;5883;11841
13037;Rijkevorsel;6317;6214;12531
13040;Turnhout;23418;23505;46923
13044;Vorselaar;4023;4021;8044
13046;Vosselaar;5880;5922;11802
13049;Westerlo;12779;12687;25466
13053;Laakdal;8352;8355;16707
20001;Provincie Vlaams-Brabant;582527;604956;1187483
20002;Provincie Waals-Brabant;200139;212795;412934
21000;Arrondissement Brussel-Hoofdstad;608262;632913;1241175
21001;Anderlecht;62331;62734;125065
21002;Oudergem;16866;18480;35346
21003;Sint-Agatha-Berchem;12272;13124;25396
21004;Brussel;99180;95111;194291
21005;Etterbeek;23749;25809;49558
21006;Evere;21336;22919;44255
21007;Vorst (Brussel-Hoofdstad);28003;29721;57724
21008;Ganshoren;12304;13244;25548
21009;Elsene;42910;45611;88521
21010;Jette;25929;27775;53704
21011;Koekelberg;11259;11304;22563
21012;Sint-Jans-Molenbeek;48960;49310;98270
21013;Sint-Gillis;24757;24566;49323
21014;Sint-Joost-ten-Node;14116;12952;27068
21015;Schaarbeek;64897;65878;130775
21016;Ukkel;39984;46117;86101
21017;Watermaal-Bosvoorde;11659;13733;25392
21018;Sint-Lambrechts-Woluwe;27855;31923;59778
21019;Sint-Pieters-Woluwe;19895;22602;42497
23000;Arrondissement Halle-Vilvoorde;324345;339856;664201
23002;Asse;17256;17935;35191
23003;Beersel;13008;13466;26474
23009;Bever;1116;1149;2265
23016;Dilbeek;21587;23063;44650
23023;Galmaarden;4420;4492;8912
23024;Gooik;4663;4765;9428
23025;Grimbergen;19091;20277;39368
23027;Halle (Halle-Vilvoorde);20508;21539;42047
23032;Herne;3347;3416;6763
23033;Hoeilaart;5628;5909;11537
23038;Kampenhout;6103;6342;12445
23039;Kapelle-op-den-Bos;4702;4957;9659
23044;Liedekerke;6781;7096;13877
23045;Londerzeel;9509;9779;19288
23047;Machelen (Halle-Vilvoorde);8060;8426;16486
23050;Meise;9848;10391;20239
23052;Merchtem;8686;9054;17740
23060;Opwijk;7342;7548;14890
23062;Overijse;12713;13265;25978
23064;Pepingen;2287;2280;4567
23077;Sint-Pieters-Leeuw;17640;18412;36052
23081;Steenokkerzeel;6194;6420;12614
23086;Ternat;8110;8378;16488
23088;Vilvoorde;22914;24079;46993
23094;Zaventem;17796;18612;36408
23096;Zemst;11415;11942;23357
23097;Roosdaal;5849;6017;11866
23098;Drogenbos;2780;3071;5851
23099;Kraainem;6833;7218;14051
23100;Linkebeek;2195;2445;4640
23101;Sint-Genesius-Rode;9056;9683;18739
23102;Wemmel;8629;9114;17743
23103;Wezembeek-Oppem;7002;7606;14608
23104;Lennik;4598;4833;9431
23105;Affligem;6679;6877;13556
24000;Arrondissement Leuven;258182;265100;523282
24001;Aarschot;15121;15733;30854
24007;Begijnendijk;5135;5352;10487
24008;Bekkevoort;3347;3325;6672
24009;Bertem;5049;5227;10276
24011;Bierbeek;5254;5215;10469
