Timestamp,Validatiestatus,Afname (Kwh),Injectie (Kwh),Power(W),AC_Voltage,Temperature(℃),Grid_frequency,1h_Generated(kWh),daglicht(s),solstice_distance(days)
2021-09-01 00:00:00,Uitgelezen,0.078,0.0,,,,,,48696,73
2021-09-01 01:00:00,Uitgelezen,0.094,0.0,,,,,,48696,73
2021-09-01 02:00:00,Uitgelezen,0.089,0.0,,,,,,48696,73
2021-09-01 03:00:00,Uitgelezen,0.077,0.0,,,,,,48696,73
2021-09-01 04:00:00,Uitgelezen,0.095,0.0,,,,,,48696,73
2021-09-01 05:00:00,Uitgelezen,0.086,0.0,,,,,,48696,73
2021-09-01 06:00:00,Uitgelezen,0.079,0.0,17.11111111111111,235.0,30.8,50.3,0.0,48696,73
2021-09-01 07:00:00,Uitgelezen,0.089,0.0,115.75,237.1,35.0,50.04,0.09999999999990905,48696,73
2021-09-01 08:00:00,Uitgelezen,0.008,-0.019,173.91666666666666,238.6,36.4,50.03,0.09999999999990905,48696,73
2021-09-01 09:00:00,Uitgelezen,0.08,-0.074,323.8333333333333,235.1,37.7,50.02,0.3000000000001819,48696,73
2021-09-01 10:00:00,Uitgelezen,0.0,-0.164,547.3333333333334,240.9,40.5,50.06,0.5,48696,73
2021-09-01 11:00:00,Uitgelezen,0.0,-0.396,484.0833333333333,237.1,40.5,50.02,0.5,48696,73
2021-09-01 12:00:00,Uitgelezen,0.384,-0.253,528.4166666666666,239.0,40.8,50.05,0.5,48696,73
2021-09-01 13:00:00,Uitgelezen,0.021,-0.382,636.9166666666666,239.4,41.9,50.02,0.599999999999909,48696,73
2021-09-01 14:00:00,Uitgelezen,0.0,-0.499,405.4166666666667,235.5,41.3,50.01,0.3000000000001819,48696,73
2021-09-01 15:00:00,Uitgelezen,0.0,-0.27,382.75,235.4,40.4,50.01,0.40000000000009095,48696,73
2021-09-01 16:00:00,Uitgelezen,0.0,-0.239,293.25,234.0,40.0,50.03,0.1999999999998181,48696,73
2021-09-01 17:00:00,Uitgelezen,0.0,-0.165,142.25,234.3,39.3,50.07,0.09999999999990905,48696,73
2021-09-01 18:00:00,Uitgelezen,0.016,-0.022,100.41666666666667,237.9,38.5,50.04,0.09999999999990905,48696,73
2021-09-01 19:00:00,Uitgelezen,0.313,0.0,69.8,234.8,37.2,50.01,0.0,48696,73
2021-09-01 20:00:00,Uitgelezen,0.497,0.0,,,,,,48696,73
2021-09-01 21:00:00,Uitgelezen,0.323,0.0,,,,,,48696,73
2021-09-01 22:00:00,Uitgelezen,0.515,0.0,,,,,,48696,73
2021-09-01 23:00:00,Uitgelezen,0.106,0.0,,,,,,48696,73
2021-09-02 00:00:00,Uitgelezen,0.08499999999999999,0.0,,,,,,48470,74
2021-09-02 01:00:00,Uitgelezen,0.097,0.0,,,,,,48470,74
2021-09-02 02:00:00,Uitgelezen,0.088,0.0,,,,,,48470,74
2021-09-02 03:00:00,Uitgelezen,0.086,0.0,,,,,,48470,74
2021-09-02 04:00:00,Uitgelezen,0.089,0.0,,,,,,48470,74
2021-09-02 05:00:00,Uitgelezen,0.08900000000000001,0.0,,,,,,48470,74
2021-09-02 06:00:00,Uitgelezen,0.1,0.0,53.416666666666664,237.6,32.9,50.05,0.09999999999990905,48470,74
2021-09-02 07:00:00,Uitgelezen,0.056,0.0,220.58333333333334,238.1,35.9,50.19,0.20000000000027285,48470,74
2021-09-02 08:00:00,Uitgelezen,0.004,-0.098,454.1666666666667,238.3,38.9,50.08,0.3999999999996362,48470,74
2021-09-02 09:00:00,Uitgelezen,0.02,-0.331,1315.25,246.1,49.7,50.03,1.199999999999818,48470,74
2021-09-02 10:00:00,Uitgelezen,0.0,-1.156,1845.0,246.4,56.9,50.01,1.7000000000002728,48470,74
2021-09-02 11:00:00,Uitgelezen,0.0,-1.686,1434.9166666666667,247.9,57.2,50.05,1.400000000000091,48470,74
2021-09-02 12:00:00,Uitgelezen,0.02,-1.0779999999999998,1219.9166666666667,246.7,53.7,50.01,1.099999999999909,48470,74
2021-09-02 13:00:00,Uitgelezen,0.0,-1.034,1559.75,246.3,56.9,50.02,1.400000000000091,48470,74
2021-09-02 14:00:00,Uitgelezen,0.0,-1.3980000000000001,1618.9166666666667,248.1,57.4,50.02,1.3999999999996362,48470,74
2021-09-02 15:00:00,Uitgelezen,0.0,-1.355,988.9166666666666,243.0,54.1,50.01,0.8999999999996362,48470,74
2021-09-02 16:00:00,Uitgelezen,0.0,-0.845,583.1666666666666,238.4,49.2,50.05,0.5,48470,74
2021-09-02 17:00:00,Uitgelezen,0.532,-0.242,288.3333333333333,234.6,46.4,50.04,0.29999999999972715,48470,74
2021-09-02 18:00:00,Uitgelezen,0.007,-0.11900000000000001,98.5,235.3,42.7,50.04,0.09999999999990905,48470,74
2021-09-02 19:00:00,Uitgelezen,0.093,0.0,60.142857142857146,233.4,39.7,50.02,0.0,48470,74
2021-09-02 20:00:00,Uitgelezen,0.146,0.0,,,,,,48470,74
2021-09-02 21:00:00,Uitgelezen,0.203,0.0,,,,,,48470,74
2021-09-02 22:00:00,Uitgelezen,0.185,0.0,,,,,,48470,74
2021-09-02 23:00:00,Uitgelezen,0.089,0.0,,,,,,48470,74
2021-09-03 00:00:00,Uitgelezen,0.094,0.0,,,,,,48243,75
2021-09-03 01:00:00,Uitgelezen,0.088,0.0,,,,,,48243,75
2021-09-03 02:00:00,Uitgelezen,0.08499999999999999,0.0,,,,,,48243,75
2021-09-03 03:00:00,Uitgelezen,0.09,0.0,,,,,,48243,75
2021-09-03 04:00:00,Uitgelezen,0.083,0.0,,,,,,48243,75
2021-09-03 05:00:00,Uitgelezen,0.083,0.0,,,,,,48243,75
2021-09-03 06:00:00,Uitgelezen,0.09,0.0,65.58333333333333,238.1,33.4,50.1,0.1000000000003638,48243,75
2021-09-03 07:00:00,Uitgelezen,0.042,0.0,525.0,242.3,39.7,50.25,0.5,48243,75
2021-09-03 08:00:00,Uitgelezen,0.0,-0.439,1116.5,243.8,46.4,50.27,1.0,48243,75
2021-09-03 09:00:00,Uitgelezen,0.0,-0.928,1546.6666666666667,243.0,51.9,50.02,1.400000000000091,48243,75
2021-09-03 10:00:00,Uitgelezen,0.0,-1.381,1799.5,245.2,57.1,50.02,1.699999999999818,48243,75
2021-09-03 11:00:00,Uitgelezen,0.0,-1.682,1932.8333333333333,247.9,59.8,50.02,1.7999999999997272,48243,75
2021-09-03 12:00:00,Uitgelezen,0.0,-1.814,1934.8333333333333,246.1,60.6,50.03,1.7999999999997272,48243,75
